player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
235303,Hideaki Takashiro,M,Japan,JPN,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,No medal
235305,Rikizo Takata,M,Japan,JPN,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
235306,Taylor Takata,M,United States,USA,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,No medal
235308,Sohsuke Takatani,M,Japan,JPN,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal
235309,Sohsuke Takatani,M,Japan,JPN,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal
235310,Naohisa Takato,M,Japan,JPN,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Bronze
235311,Masahiro Takatsuki,M,Japan,JPN,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,No medal
235312,Aki Takayama,F,Japan,JPN,1992,Summer,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Solo,No medal
235313,Aki Takayama,F,Japan,JPN,1992,Summer,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
235314,Juri Takayama,F,Japan,JPN,1996,Summer,Atlanta,Softball,Softball Women's Softball,No medal
235315,Juri Takayama,F,Japan,JPN,2000,Summer,Sydney,Softball,Softball Women's Softball,Silver
235316,Juri Takayama,F,Japan,JPN,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze
235317,Masakuzu Takayama,M,Japan,JPN,1964,Summer,Tokyo,Boxing,Boxing Men's Featherweight,No medal
235318,Suzue Takayama,F,Japan,JPN,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Silver
235319,Satoshi Takayanagi,M,Japan,JPN,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,No medal
235320,Shoko (-yoshida),F,Japan,JPN,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball,Gold
235321,Yuko Takayanagi,F,Japan,JPN,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Individual",No medal
235322,Viliame Takayawa,M,Fiji,FIJ,1984,Summer,Los Angeles,Judo,Judo Men's Half-Heavyweight,No medal
235323,Viliame Takayawa,M,Fiji,FIJ,1988,Summer,Seoul,Judo,Judo Men's Half-Heavyweight,No medal
235324,Nacanieli Takayawa-qerawaqa,M,Fiji,FIJ,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
